,Movie_Name,Released_year,Director,movie_Rating,User_voting,Movie_details_Link
118,Snatch,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.2,860233,/title/tt0208092/
119,Indiana Jones and the Last Crusade,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.2,758792,/title/tt0097576/
120,Ladri di biciclette,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.2,165144,/title/tt0040522/
121,Taare Zameen Par,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.2,195031,/title/tt0986264/
122,1917,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.2,595568,/title/tt8579674/
123,Der Untergang,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.2,358006,/title/tt0363163/
124,Per qualche dollaro in più,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.2,258966,/title/tt0059578/
125,Dangal,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.2,193015,/title/tt5074352/
126,Batman Begins,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.2,1475784,/title/tt0372784/
127,The Kid,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.2,127735,/title/tt0012349/
128,Some Like It Hot,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.2,269562,/title/tt0053291/
129,The Father,2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",8.2,156928,/title/tt10272386/
130,All About Eve,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.2,132598,/title/tt0042192/
131,Green Book,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.2,496632,/title/tt6966692/
132,The Wolf of Wall Street,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.2,1417784,/title/tt0993846/
133,Judgment at Nuremberg,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.2,78637,/title/tt0055031/
134,Casino,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.2,523993,/title/tt0112641/
135,Ran,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.2,127096,/title/tt0089881/
136,Pan's Labyrinth,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.2,672569,/title/tt0457430/
137,Unforgiven,1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.2,414688,/title/tt0105695/
138,The Truman Show,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.2,1087418,/title/tt0120382/
139,There Will Be Blood,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.2,590444,/title/tt0469494/
140,The Sixth Sense,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.2,995611,/title/tt0167404/
141,A Beautiful Mind,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.2,936245,/title/tt0268978/
142,Shutter Island,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.2,1321449,/title/tt1130884/
143,Yôjinbô,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.1,124215,/title/tt0055630/
144,Jurassic Park,1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.1,992783,/title/tt0107290/
145,The Treasure of the Sierra Madre,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.1,126241,/title/tt0040897/
146,Monty Python and the Holy Grail,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.1,544616,/title/tt0071853/
147,Spider-Man: No Way Home,2021,"Jon Watts (dir.), Tom Holland, Zendaya",8.1,760251,/title/tt10872600/
148,The Great Escape,1963,"John Sturges (dir.), Steve McQueen, James Garner",8.1,246543,/title/tt0057115/
149,Rashômon,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.1,170288,/title/tt0042876/
150,No Country for Old Men,2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.1,978585,/title/tt0477348/
151,Kill Bill: Vol 1,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.1,1120265,/title/tt0266697/
152,The Thing,1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.1,428979,/title/tt0084787/
153,Finding Nemo,2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.1,1047669,/title/tt0266543/
154,The Elephant Man,1980,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.1,243589,/title/tt0080678/
155,Chinatown,1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.1,329475,/title/tt0071315/
156,Raging Bull,1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.1,356872,/title/tt0081398/
157,V for Vendetta,2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.1,1125797,/title/tt0434409/
158,Gone with the Wind,1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.1,317842,/title/tt0031381/
159,"Lock, Stock and Two Smoking Barrels",1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.1,585814,/title/tt0120735/
160,Inside Out,2015,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.1,717940,/title/tt2096673/
161,Dial M for Murder,1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.1,177828,/title/tt0046912/
162,El secreto de sus ojos,2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.1,211478,/title/tt1305806/
163,Hauru no ugoku shiro,2004,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.1,399003,/title/tt0347149/
164,"Three Billboards Outside Ebbing, Missouri",2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.1,511773,/title/tt5027774/
165,The Bridge on the River Kwai,1957,"David Lean (dir.), William Holden, Alec Guinness",8.1,222694,/title/tt0050212/
166,Trainspotting,1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.1,690748,/title/tt0117951/
167,Prisoners,2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.1,722142,/title/tt1392214/
168,Warrior,2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.1,475383,/title/tt1291584/
169,Fargo,1996,"Joel Coen (dir.), William H. Macy, Frances McDormand",8.1,681841,/title/tt0116282/
170,Gran Torino,2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.1,779227,/title/tt1205489/
171,Tonari no Totoro,1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.1,342784,/title/tt0096283/
172,Catch Me If You Can,2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.1,989383,/title/tt0264464/
173,Million Dollar Baby,2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.1,690362,/title/tt0405159/
